REF,Company (Manufacturer),Company Location,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent (%),Ingredients,Most Memorable Characteristics,Rating
2542,0,57,16,822,68.0,5,189,3.0
2542,0,57,23,68,68.0,5,1117,3.5
2546,0,57,57,1243,72.0,5,629,3.0
797,1,17,3,178,71.65558252427185,12,2041,3.5
1011,1,17,33,982,70.0,12,103,2.75
1011,1,17,28,755,71.65558252427185,12,1847,3.0
1011,1,17,4,186,70.0,12,1106,3.25
1011,1,17,14,466,70.0,12,1574,3.75
1015,1,17,8,324,70.0,12,130,2.75
1015,1,17,5,167,70.0,12,1852,3.0
1015,1,17,34,990,70.0,12,1083,3.25
1015,1,17,57,283,71.65558252427185,12,1302,4.0
1019,1,17,35,1030,70.0,12,821,3.25
1019,1,17,35,258,71.65558252427185,12,254,3.5
1315,1,17,57,243,70.0,12,882,2.75
1315,1,17,11,369,70.0,12,1663,3.5
1315,1,17,57,1241,70.0,12,1230,3.5
1319,1,17,57,1076,70.0,12,20,3.75
1319,1,17,35,977,70.0,12,473,4.0
1676,1,17,52,665,70.0,12,133,2.75
1676,1,17,52,94,70.0,12,1452,3.0
1680,1,17,52,14,70.0,12,1094,3.5
1704,1,17,35,1089,70.0,12,777,3.5
2206,1,17,57,1054,70.0,12,13,3.5
2648,1,17,30,682,70.0,12,1035,4.0
2712,1,17,24,604,71.65558252427185,5,1670,3.75
2712,1,17,35,373,70.0,5,819,3.5
2716,1,17,3,446,71.65558252427185,12,2072,2.75
1462,3,57,35,300,70.0,1,2080,3.75
1470,3,57,35,1315,70.0,1,980,3.75
2462,3,57,30,1264,71.65558252427185,1,894,3.25
2470,3,57,35,128,70.0,1,923,3.5
705,4,15,16,1344,72.0,5,220,3.5
2438,5,58,56,770,71.65558252427185,1,2013,2.5
2438,5,58,56,773,70.0,1,57,2.75
2438,5,58,56,431,70.0,1,1628,3.0
2442,5,58,56,1176,70.0,1,1920,2.75
370,6,13,14,739,70.0,14,1480,3.0
316,7,32,30,1246,70.0,5,848,3.0
502,8,56,28,752,75.0,12,1876,2.75
508,8,56,4,878,75.0,12,639,2.75
636,8,56,24,120,75.0,12,884,3.75
1061,9,17,57,283,75.0,16,1538,2.5
1173,9,17,35,1047,71.65558252427185,16,158,2.5
1215,9,17,58,1354,75.0,17,1246,2.75
1215,9,17,28,749,71.65558252427185,17,203,3.0
1992,9,17,30,1061,75.0,18,1864,3.5
1944,10,33,14,1379,70.0,5,1555,3.5
1944,10,33,31,678,70.0,5,1610,3.5
1944,10,33,49,766,70.0,5,1566,3.5
1944,10,33,58,1273,70.0,5,1615,3.5
1728,11,57,31,872,71.65558252427185,5,1360,2.75
1732,11,57,3,197,71.65558252427185,5,1613,2.5
2044,11,57,13,952,70.0,5,1917,3.0
129,12,57,28,749,71.65558252427185,14,1747,3.5
147,12,57,57,376,71.65558252427185,14,2059,3.0
175,12,57,57,937,70.0,14,1797,3.75
304,12,57,24,121,71.65558252427185,14,1841,2.75
363,12,57,57,874,71.65558252427185,14,924,3.0
470,12,57,13,421,70.0,14,1319,3.75
470,12,57,14,536,70.0,14,1881,4.0
544,12,57,57,283,71.65558252427185,14,2075,3.0
725,12,57,34,885,70.0,14,1975,4.0
322,13,47,18,499,70.0,1,525,3.0
327,13,47,14,433,71.65558252427185,1,2053,2.75
464,13,47,18,499,71.65558252427185,1,1497,3.0
1964,14,41,35,787,70.0,19,1381,3.0
1964,14,41,35,1049,70.0,19,678,3.5
1145,15,37,35,711,71.65558252427185,5,1314,3.25
1145,15,37,35,151,73.0,5,1315,3.5
1498,16,6,13,402,75.0,1,909,3.25
1498,16,6,34,990,71.65558252427185,1,1695,3.25
1498,16,6,57,1348,71.65558252427185,1,1589,3.25
1498,16,6,35,1006,68.0,1,1439,3.5
75,17,27,2,1286,71.65558252427185,14,1400,3.75
123,17,27,14,433,71.65558252427185,14,331,3.0
123,17,27,26,595,71.65558252427185,14,1627,3.0
123,17,27,19,521,70.0,14,753,3.5
123,17,27,57,1348,70.0,14,343,3.75
129,17,27,53,1297,71.65558252427185,14,264,3.5
979,17,27,35,1039,70.0,14,386,3.75
2088,17,27,28,749,70.0,14,2032,3.0
2088,17,27,57,283,71.65558252427185,14,2033,3.0
2092,17,27,57,1054,70.0,14,1233,3.0
2092,17,27,2,908,75.0,14,1923,3.5
2434,17,27,2,1286,70.0,5,1176,2.75
572,2,5,4,876,71.65558252427185,12,1467,3.75
1065,2,5,4,255,75.0,12,779,3.25
1259,18,57,13,459,75.0,1,169,3.0
1852,19,57,3,31,75.0,1,1043,3.5
2586,19,57,1,838,75.0,1,131,3.0
2586,19,57,20,30,75.0,1,1317,3.25
1375,20,17,28,749,75.0,5,1552,3.0
1379,20,17,30,267,72.0,5,601,2.5
1379,20,17,14,466,75.0,5,66,2.75
1379,20,17,57,1296,75.0,5,1234,3.0
1534,21,57,4,476,70.0,1,390,3.5
1534,21,57,35,892,71.65558252427185,1,720,3.5
1534,21,57,14,1080,70.0,1,1770,3.75
1598,21,57,13,952,70.0,1,1765,3.5
1598,21,57,1,829,70.0,1,734,3.75
1598,21,57,31,305,70.0,1,428,4.0
1602,21,57,4,476,71.65558252427185,1,703,2.75
1602,21,57,20,535,70.0,1,1861,3.25
1602,21,57,14,210,75.0,5,971,3.5
1724,21,57,53,1159,70.0,1,478,3.5
1724,21,57,49,639,70.0,1,17,3.75
1900,21,57,58,1273,71.65558252427185,5,161,3.5
1904,21,57,14,547,70.0,5,1829,3.25
1904,21,57,14,349,71.65558252427185,5,188,3.25
1904,21,57,20,697,70.0,1,1898,3.5
1904,21,57,31,1115,70.0,5,1160,3.75
1908,21,57,22,688,70.0,1,1223,3.5
1908,21,57,10,360,70.0,1,28,4.0
1924,21,57,35,1017,71.65558252427185,1,322,4.0
1928,21,57,16,821,71.65558252427185,1,1678,3.25
1928,21,57,58,705,73.0,1,595,3.25
1928,21,57,13,459,70.0,1,444,3.75
2020,21,57,23,61,70.0,1,1657,3.5
2020,21,57,28,1126,71.65558252427185,5,1724,3.5
2020,21,57,58,152,73.0,5,1418,3.5
2024,21,57,3,166,70.0,1,303,4.0
2028,21,57,35,1322,70.0,5,506,3.5
2028,21,57,21,1020,70.0,1,1045,4.0
2068,21,57,53,1094,71.65558252427185,1,1183,3.0
2254,21,57,8,1303,70.0,1,1710,4.0
2330,21,57,23,602,70.0,5,896,3.25
2450,21,57,23,579,70.0,5,118,3.0
2162,22,35,31,814,70.0,1,1062,3.25
2162,22,35,31,871,70.0,1,1715,3.5
2162,22,35,31,316,70.0,1,1485,3.5
2166,22,35,31,76,70.0,1,230,3.0
300,23,56,9,338,72.0,5,1784,3.75
355,23,56,57,950,75.0,5,1303,2.5
355,23,56,24,603,71.65558252427185,5,860,2.75
363,23,56,4,188,72.0,5,229,1.75
363,23,56,35,1006,75.0,5,1757,3.0
363,23,56,13,402,72.0,5,1740,3.25
